content,score
oke,5
Sangat puas,5
"Ga bisa nambah lokasi favorit, ga bisa nambah dan edit pesan cepat. Perasaan dulu bisa dah.",1
On time,5
Okelah,5
Ok jos,5
membantu,5
"Kenapa setiap saya pesan gosend, fitur chatnya menghilang? Saya jd tidak bisa berkomunikasi dengan driver 🤷🏻‍♀️",4
mesen makanan awalnya ada diskon pas ngisi saldo diskonnya ilang semua dan alhasil harus bayar mahal hadeh apk sebelah aja ga gini,1
Oke,5
Siiippp,5
Aplikasi yang sangat membantu dan di butuhkan semua orang,5
Good,5
Tarif murah joss,5
Aku suka,5
Kembalikan fitur double promo dan voucher di gofood,5
top,5
Ok,5
Mantab .,5
Sangat membantu,5
"Mengapa sangat susah sekali menghubungi driver padahal, ini fitur penting untuk mengetahui posisi pengantaran. Dan hari ini pesanan saya BELUM SAMPAI alias tidak diantar.",1
Keren gojek,5
Maantp ....,5
"SANGAT TIDAK REKOMEN. Pesen gofood nunggu 2 jam lebih ndak bisa di cancle sama sekali, padahal sudh beberapa kali driver bilang kalau resto ndak ada. Fiturenya malah mempersulit konsumen dan driver",1
Kurang canggih masa harus pake KTP asli kalo mau upgrade ke go plus padahal sekarang sudah ada KTP digital,2
TOP Banget,5
"Apaan dah aktivitas gak normal, aku malu gagal bayar mulu sampe 3 kali",1
"mantap ,pengiriman cepat",5
mantaaap,5
Excellent,5
Sangat membantu,5
No recommend,1
enak nya tu selalu dapet diskon aku beli Boba dua plus toping aslinya total nya 42k jadi 17k trus Dateng nya lumayan cepet sih menurut aku,5
Baru pakai ngirim barang tapi sudah 2 hari barangnya ngk sampai sampai,1
Bagus,5
Memuaskan,5
"seharusnya gojek driver dapat upah yang sesuai dan sama rata, tanpa perlu ada slot! karena upah nya sangat mencekik dan sulit dapat orderan untuk pemain reguler! Promo banyak tapi yang dikorbankan paling banyak drivernya",1
bagus,5
bagus tepat cepat selamat ke 7 an,5
Okeee Bangwtttt,5
Belum ada panggilan untuk jadi mitra,4
Mantap,5
Alhamdulillah sampai selamat,3
Aman. Nyaman Selalu happy dengan service gojek,5
Cintailah Produk-produk Anak Bangsa Indonesia.,5
Ga gabisa login yatimmnnmn,1
Mantap,5
"Bapa driver nya ramah sopan,nyaman slama dlm perjalanan😍😍",5
Bagus,5
Recommend,5
tolong di perbaiki systymnya sangat merugikan mitra driver dengan map yang suka salah dan penghitungan argo sangat murah sekali.,1
Sangat membantu,5
membantu banget,5
"Akun sudah tidak aktif 3 tahun lalu,tidak dibekukan Padahal nomor sudah hilang ditelan bumi Jadi gopay ni sama kek maling,tf ke orang yang sama aja hangus,gimana kalau tf ke orang yg salah? Hati2",1
👍👍👍,5
"Bagi pengguna aplikasi ini hanya mengingatkan kalau sekarang gojek itu memprioritaskan agar driver mendapatkan ongkos ter-rendah/batas bawah (termasuk mencurangi jarak antar), termasuk juga ketika customer dapat driver yang sangat jauh (ex: kondisi cuaca hujan).",1
Sering pakai gojek malah makin MAHAL GMN SIH INI? PAKAI DISKON BUKAN NYA MURAH MALAH NAIK HARGA HADEH,1
keren,5
Mudah dan praktis jos pokoknya,5
manta gojeg,5
Bagus,4
Oke,5
"elapk tolol ,mau recovery akun selalu dapat keterangan ga jelas ,padahal sudah ngirim sesuai permintaan",1
Oke sip,5
Mantul,5
"ini buat pengalaman aku . sekarang banyak orang ngaku2 gojek padahal cuma mau minta duit , emang sekarang banyak yang mengaku gojek padahal mafia ,tolong pihak gojek Jangan jual belikan jaket apa hlem gojek sembarang kasian masarakat yang jadi imbasnya",3
T . Q gan,5
Good,5
"Aplikasi mantab, iklan di game bikin log out game dan maksa, jadi ganggu",1
mantap,5
Pelayanan ny 👍 Mantap,5
Bagus aplikasinya driver GO-RIDE selalu bagus pelayanannya cuma minus driver mobilnya aja kebanyakan kayak minus attitude😁,5
Kasian bgt upah driver nya cuman di bayar goceng alias 5rb . padahal sya bayar 22 rb ongkir Kapitalisme bgt aplikasinya ga manusia wi . Potong an ke drivernya hampir 75% bukan 20% . Pa Sehancur ini kah,1
Suka,5
ok lah,5
Mantaapp gofood,5
Keren banget gojek,5
sukses selalu,5
Ok,5
Loginnya ribet,1
"Gojek.. Skg mantau go food kok ga bisa keliatan ya drivernya sampai mana, biasanya kita bisa memantau loh.. Please di perbaiki lagi perfomanya",3
"Sangat membantu.cepat penanganannya dan perbaikan saat ada ulasan jelek,draiver ramah² dan baik meskipun agak lama mencari driver,jarang ada promo untuk goride tapi tetap gojek pilihanku sukses trus untuk gojek.",4
Mantap,5
Cakepppppp,5
Keren ah,5
Sangat bagus sekali,5
Saya pelanggan lama fdan saya selalu puas akan pelayanan dan aplikasi nya,5
"Tolong untuk driver GoCar nya di teliti lagi, sebab ntah knpa sya susah bngt mendptkan driver. Ada yg menerima orderan masuk tapi tdk bergrak dari titik nya, di chat gak di bls. Ada yg menerima setelah itu orderan sya di batalkan lagi,rata² yg spt itu usianya masih terbilang muda ya. Nth mrka lihat tarif yg trkdng murah, / lihat rute yg diluar target mrka. Prinsipnya gimna sih ya? Nyari driver aja 1 jam bhkn lebih.stdknya klo gk mau ngntr orderan jngn diterima, biar kami gk buang² waktu.",2
Mempermudah perjalanan,5
Sampai saat ini puas dgn jasa layanannya,5
Saya siap kerja bersama GO-JEK.. Tinggal menunggu On aplikasinya.,5
Ok,5
Ongkirnya terlalu mahal,2
Makin kesini gofood ongkirnya ngga masuk akal lebih mahal daripada harga makanannya,1
yg cash jarang diskon,4
Sangat membantu,5
Gojek tambah gak jelas. Potongan besar.,1
"Parah bangett, TEMPAT LOKASI JEMPUT NYA JAUH, JADI AKU NUNGGU LAMAA!, malah di cansel dadakan!! Di ganti mobil yang lain yg plat beda aku yg baru pesen gak tau apa apa!! Tiba2 ganti mobil ajh, ya aku bingung dong!! Mana muter muter lagi,",1
Bagus banget cepat,5
"Overall semuanya bagus, cuma kekurangan nya pas pesan gofood, abis mesan kalo menu nya gak ada kita gak bisa cancel sendiri dan malah harga nya beda terkadang yang ngebuat harus bayar lagi beberapa ribu",1
Hapuskan slot goceng sangat memeras kami driver🙌,2
"ngirim laporan ga diterima, padahal ga bisa transfer butuh cepat.",1
"Rekomen sekali pakai gojek tu semua bisa , tapi saya ga pernah telat dalam pembayaran tapi knpa gopay pinjaman saya malah turun dan gopaylater tiba2 diblokir Setidaknya ada pemberitahuan atau apa nah ini tidak ada sama sekali",3
go pay pinjam. pinjam 3jt dr 4 jt.. pembYaran 3 x.. dipembayaran ke 2 saya lunasi.. tp sblm pembayaran muncul notif gopay pinjam dibekukan.. begitu selesai dibYar. trnyTa benar dibekukan ga bs lagi.. uninstal saja..,1
mantap dah,5
Rebet masuk sama bikin akun kalo salah harus nunggu 30jam,1
👍🏻👍🏻👍🏻,5
Good,5
"Cool, calm & confidence, maknyosss 👍✅",5
"Cepat, murah, armada terbaru",5
sangat membantu bagi saya dengan pelayanan driver dari gojek yg sangat ramah dan bersih,5
Aplikasi busuk,1
Bagus,5
bapaknya ramah sekali,5
Sangat dan Cocok dgn Kebutuhan Sehari-hari,5
"Selama ini masih aman dan nyaman pakai gojek, semoga selalu nyaman dan aman..",5
"Kecewa pakai Gojek. Saya komplain terkait GoFood gak ditindaklanjuti, CS gojek menanggapinya hanya dengan pesan otomatis!",1
Mantap,5
"KECEWI BNGT SM GOJEKK laporan barang yang ga smpe ga di gubris mungkin ya barang emg ga seberapa tpi ini sering bngttt kejadian,sekali ma gapapa klo dua kali empet juga Rafi ahmad kali kita,mana BUGG mlu tiap mau lapor balesan nya juga lama bngt,sedih sih,kecewa ny LBH dari di kecewain sm mantan,pdhl lof bngt sm gojek dri dlu gprnh ganti,semoga LBH bagus deh kedepannya darah tinggi skrg pke gojek,LG gpny duit di Preng gojek,driver jg gbs di hubungi tau dh ah pusing,(gen z)",3
Mantan banyak promo nya gak rugi deh ayo cepetan download buktikan sendiri,5
hemat sering tdk di terima,4
"Kerenlah pokoknya, terbantu dlm beraktivitas",5
"Gmna ini aflikasi gojek error, metode pembayar tunai, tpi diaflikasi jdi non tunai, satu tujuan dua kali pembayaran",3
Aplikasi nya bagus,5
Cepat tepat,5
Ok,5
bagus,5
Mempermudah,5
Okeh,5
bagus bgt,5
"Dapat driver yang baik dan humbel,cekatan dan tepat waktu",5
Bagus bangettt,5
sangat mmbantu untuk bepergian,5
Sangat membantu,5
Bisa makan enak,5
"Gua nunggu lama driver Milih harga lebih baik Maxim atau grab cepet drivernya, gojek sekarang makin jelek🙏driver alasannya ada orderan lain lah itu lah, kalo gk mau narik gk usah nyalahin aplikasi, udah gitu cancel saldo gopay berkurang",1
Aplikasi yang sangat membantu kebutuhan sehari-hari 👍🏻😊,5
Baik dan aman,5
Mantap,5
Terima kasih,5
"Jelek sekali sekarang, driver ambil penumpang tapi tidak gerak2!!! Mending hapus saja go car nya!!!!",1
Sangat membantu bepergian & mengirim barang,5
Berguna banget,5
Cepat,5
Jozzzz,5
Good job,5
Nice,5
Titik jemput mudah dicari di map nya,5
Driver bisa menyelsaikan pesanan tanpa mengantar Dan laporan ga guna juga,1
Bgus,5
"Selama ini drivernya selalu ramah, pertahankan yaa🤩",5
"𝘔𝘢𝘯𝘵𝘢𝘱 , 𝘖𝘯 𝘳𝘪𝘮𝘦",5
"Maaf , apakah ada yg mengalami kendala yg sama dg saya. Terkadang saya gak bs klik unt membuka chat dan telp dr gojek tidak berdering. Apakah krn gangguan sinyal atau bagaimana.",4
"Driver mobilnya ga mau ambil pesanannya mulu, sekali pesan di grab lgsg di ambil. Saya uninstall aja aps ini lah",2
Cepat.. tapi kalau bisa jgn mahal2 lah,4
memudahkan saya dalam perjalanan,5
Sangat memudahkan dalan perjalanan,5
"pernh gk klian psan brng dngan jsa instan atau same day, dan itu pasti dikenalkan biaya kirim, mau jarak berapapun itu 0 km pun pasti ada biaya nya, & aneh nya ketika driver dapet orderan itu, malah gk dpet apa-apa, gila sih. Jdi di aplikasi driver itu ada yg nmanya ""multi instant"" Ini adlh orderan satu atau dua toko dengn jumlah paket maksml 3, & ktika driver dpt dri toko A untuk tujuan 1 dan 2, tjuan stu ke tko A juga & tjuan 2 nya agk jauh, ongkir yg di byr adlh tjuan 2,krena tjuan 1 almt sma",1
Okelah kalo begitu,5
Ok,5
"Dear gojek, saya merasa tidak pernah melakukan penyalahgunaan promosi dsb. Akan tetapi akun saya tiba-tiba kena blokir. Saya minta penjelasan detail rincinya, tapi kalian nggak bisa beri penjelasan dimana letak penyalahgunaannya. Bahkan tidak ada detail berapa lama akun saya akan kena blokir. Pelayanan yg buruk sekali.",1
"Driver seenaknya ngebatalin orderan padahal kita udah nunggu lama., Bagian Chat tidak bisa dibuka",1
Driver ramah serta kendaraan bersih.,5
Gojek mantap. Teman sehari hari untuk blinmakan dan transportasi.,5
sangat membantu,5
Cukup puas.. lumayan membantu antar2 paket/barang selama ini..,5
Alhamdulillah ok,5
Mantap,5
"Bagus sekali ,sangat membantu",5
"bagus banget pake udah lama, gk pernah dapet driver mengecewakan, semuanya rapih, bersih ramah, cepat tanggapan🤍 gofood nya pun top, udh sih yg kemana mana sendiri tapi gk bisa berkendara naik gojek udhh aman, GO-SEND nya pun cepet lu mau kirim barang gk ush worry🤍",5
Jayalah bersama masyarakat,5
"Lancar, aman dan sopan",5
"terbantu dengan gofood kalo lagi mager dan laper mendadak, walau bikin dompet kembang kempis tapi gpp yg penting makan, sayangi badanmu, sayangi dompetmu imbangi aja, pinter2 untuk membagi,,, cukup sekian dan terima kasih",5
Enak pake gojek cepat dan tepat,5
Gojeg mahal saya sudah pindah ke grab... Saya sarankan pindah ke grab..di daerah saya sudah banyak pindah ke grab,1
Harga bersahabat,5
siip,5
Oke,5
Cepat dan aman sampai ke tujuan tanpa perlu lama berpikir.,5
Oke banget,5
Sangat membantu,5
Selalu dapat disc,5
memuaskan,5
"Sangat membantu, saya suka 😍😘",5
Tidak mendownload terbaru,5
Sering dapet promo,5
"Bagus,",5
"sangat bagus, dan waktu yg tepat dalam penjemputan pelanggan",5
Tetap waktu,5
Recomended,5
"Depan kantor aja Pendaftaran driver ditutup, ternyata eh ternyata tetep aja masih buka pendaftaran, dengan alasan opang, grab vip dll, Kantor jangan hanya mau di perhatikan tapi driver jga sebagai mitra harus di perhatikan, udah tarif nya murah, suspend /pm tanpa pemberitahuan kepada driver",5
Oke,5
Bagus,5
"Aplikasi yg menyenangkan dan memudahkan untuk segala kebutuhan, saya sangat senang dengan adanya gojek kapan dan di mana pun sangat membantu 👍👍👍👍👍❤️❤️❤️❤️❤️👌👌👌👌👌🎉🎉🎉🎉🎉⭐⭐⭐⭐⭐",5
Mantap,5
👍🏻,5
lama proses penginstalannya,4
"Gojek ride instan terutama stasiun wonokromo driver lebih pilih"" Lokasi dan gender,buat apa disediakan stand dan karyawan kalau ujung ujung nya dibantu order manual saja",1
"Sejauh ini saya terbantu dengan gojek, tetapi saya kecewa karena dana saya belum dikembalikan ketika transaksi dibatalkan oleh driver pada tanggal 19 januari 2025 dan uang saya belum belum kembali. di bagian laporan saya akan dikembalikan 14 hari kerja tetapi sampai saat ini belum juga. Memang nominalnya tidak banyak tetapi profesionalnya tidak ada bagi customer",1
kebanyakan ngefreeze,1
Membantu banget,5
Ok lah,5
Pertahankan kesopanan yapas gojek,5
selalu bisa di andalkan,5
baik,5
bagus,5
Efisiens.,5
Go food parah banget pesen bakso di gang sebelah harus nunggu 40 menit wkwk lah gw pesen go food lapernya sekarang satt ..mana dibatalin gabisa ..di apk keterangan makanan lagi disiapin ... Nyiapin bakso kalo beli langsung gasampek 10 menit jadi.. ini emang sengaja ya biar customer nya mati kelaparan,1
Jossss,5
"Udah lama pake gojek, pakai gojek harga juga murah ko^^.. tapi sayangnya yang harus diperbaiki kalau hujan tolong yg gocar ttp bisa terus kecantol, kalau pakai goride oke bangett karna lebih praktis, cepet bngt gtu nyantol ke customer, mana dapat driver yang baik, ramah semua😭",5
Kurang rekomen dengan sytem sekarang masak go food aja nungu hampir 1 jam di siapin makanan dateng nasi ikan dingin semua,1
"Jadi orang jangan maruk jek... Sekarang driver dikasih 2 orderan sekaligus dengan cuma 2ribu tambahan ongkir.. Kasian yang pesan minuman,pas nyampe udah gak dingin lagi karena kelamaan dijalan dibawa muter² sama driver. Semenjak ada sistem itu.. driver pada ngeluh di kasih rating jelek sama CS.",2
Terima kasih Go-Jek,5
Ty gojek selalu ad,5
"Over all good cuma paylater dan pinjaman saya d tolak , jadi kecewa blum jga pengajuan",3
bagus,4
Nice,5
Sangat membantu,5
Sangat membantu,5
Alhamdulillah pelayanan cpt n ramah,5
Mantap,5
kenapa di surabaya banyak kendaraan motor yg kurang layak dipakai...sering gk nyaman klo naik ..tolong diperbarui,3
"Sangat cepet untuk penjemputan, harga sangat murah di kantong",5
Mantab,5
Awesome,5
"Tolong verifikasi login udah ngetik pin nolak pakai sistem foto muka malah gagal habis itu nunggu sejam, w kgk pernah pke sistem wajah dan udh nyaman cma pke pin. Masalahnya lagi urgent malah disuruh nunggu sejam buat verif",1
Good,5
Mantap,5
Customer Service sangat tidak profesional...beda sama oren,1
Pelayanan OK👍,5
Bagus dan pertahankan,5
Bagus,5
"Hedeeh pesen makanan 1,3km pengiriman 1 jam, udh ongkir Rp14.300 pesen dari jam 20.00WIB dtg 21.00WIB, kalo gabisa anter cpet jgn kasih ongkir mahal mahal",1
Tolong dong ini saya ada salah transfer ke gopay yang tidak dikenal tapi hubungi bantuan call centre kalia di jawab robot semua. Harus kontak kemana ini,1
mantap selalu ada promo,5
Sangat membantu.,5
Sangat membantu,5
sering dapet driver yang jauh dari lokasi jemput,4
good atitude,5
"Kecewa bgt sama gojek, pesen gofood udah nunggu lama bahkan melebihi estimasi waktu tp status tetep ga berubah dgn keterangan mengalami kendala dalam mencari driver, dan akhirnya malah pesanan dibatalkan, udah nunggu lama banget padahal, kenapa ga ada pilihan batalkan pesanan ? Sudah nunggu lama laper"" malah dibatalkan gitu aja ! Plis lah kasih pilihan kalo estimasi udh telat harusnya ada pilihan batalkan pesanan jadi konsumen ga perlu nunggu lama !",1
K E R E N,5
"Ini gmn ad driver udah dibayar pakek gopay tapi nga sampe sampe, alesan hpnya mati kena Aer, tapi akunya aktif, ditelpon dering tapi ceklis satu, dah chat cs gojek tetep aj malah minta suruh tunggu selesai pesenan gmn orangnya aj nga bisa dihubungin kocak, dah dikasih no hp tapi nga terdaftar di wa",1
mantap kawan kawan,5
Oke deh😁,5
memudahkan dalam berkendara,5
Terbaik,5
Makin kesini makin bobrok appsnya. Makin gaminat buat transaksi disini. Mendinan ke apps orange,1
"the best untuk sekarang,gopay pinjam dan paylater mudah cair,aku selalu bayar tepat waktu,jadi buat kalian yg udah ada gopay pinjam dan paylater nya di bayar tepat waktu yah😊",5
Ok,5
Mantaaap,5
"Maaf masih kasih bintang 3, karena menurut saya masih kurang di masalah verifikasi wajah. Padahal sudah sesuai dengan petunjuk masih dibilang tidak sesuai, mohon untuk di tanggapi dari pihak gojek🙏",3
"apaan setiap beli gofood selalu telat estimasinya, pake yang cepet juga ga ngaruh. ga jelas banget",1
Semua nya serba bisa..praktis simple..ada nya aplikasi ini,5
"Aplikasi konyol, udah pesen makanan ga ada drivernya, ga ada pilihan batalkan, udah laper harus nunggu ber jam2 sampe ada driver? Ampas sekali ini aplikasi",1
Tgl 17 Feb 25 saya order pizza dari jam 17an sampe jam 19:20 ujung2nya sama aplikasi cuma diberitahu bahwa semua driver sibuk.. Hahahaha,1
Upload KTP salah terus,4
Ngebantu,5
"pelayanan nya jelek, driver terkesan pilih pilih customer,kalo bisa tolong fitur rating user bisa di lihat,jangan hanya untuk driver doang, pesan dari lama enggak ada yg Nerima,sedangkan teman teman saya yang baru order langsung di ambil,kecewa kecewa",1
Mantap,5
Ok,5
nicee,5
So far so good,5
"dapat driver sangat lama, layanan CS GA GUNA. Estimasi waktu saat tidak ada driver juga tidak berubah dan TIDAK BERGUNA. seenggaknya baikin dulu lah sistem nya buat kenyamanan customer.",1
lamaaaaa,1
bagus,5
😁😁😁,5
Cepat dan tepat,4
👍👍👍👍👍,5
Luar biasa mantap Bug nya masih ada,5
Hadiah dari saya ;),1
"Khusus driver gocar susah setengah mati kalo tarif murah sering di batalin , buat apa lu jadi mitra",1
Sangat membantu 👍🏻,5
Untuk gojek tolong lah fitur chat untuk saat pemesanan itu di aktifin dengan penjual nya kalo pesan ga ada menu pilih custom nya gimana mau request nya,3
"Mau pergi "" mudah ada gojek mau pesan makanan juga gampang dengan gojek sangat membantu disaat mager",5
The besttt,5
Mantap selalu dapat diskon gojek juga murah,5
Penjalananmu akan lebih mudah,5
"Aplikasi disaat jam sibuk dan saat hujan suka mengalami gangguan, drivernya dapat yang jauh, lalu tiba tiba ketika sudah dekat mencari driver baru",1
"Titik perjalanan lemot di map nya, jd sulit melihat lokasi supirnya udah sampai dimana? Pdhl sudah di update ke versi terbaru tapi msh lemot aplikasinya. Tolong diperbaiki lagi",3
oke,5
Bagus apk nya,5
bagus,5
susah cari driver!!!!!!!! gojek kebanyakan kasih promo murah tapi percuma gada yang maj ambil. mending jangan pake gojek pake aja maxim,1
Sangat membantu,5
👍🏻👍🏻👍🏻 tapi kalo untuk goride n gocarnya sering nunggu lama karna dapat drivernya jauhh,5
"keren gojek,tgl gofood nya aja jgn terlalu di UP harga mknannya ...10%",5
"izin memberi masukan, tolong perbaiki gps/mapsnya. setiap saya pesan makanan lewat gojek pasti salah mulu alamatnya, padahal udh dibenerin. terus tiap mau masukin alamat baru selalu salah. ibaratnya saya nentuin titik saya sekarang, tapi yang tertulis di alamatnya malah tempat yg jauhnya bisa sampai 4km?! Asli sudah berapa kali saya emosi karena ini aplikasi. tolong dibenerin dong.",3
"Aplikasi sangat membantu, kadang sikap driver terlalu arogan dan tidak tau attitude",2
"Mengapa di gofood hemat biaya penanganan dan pengiriman selalu naik, dari awalnya 1k jadi 4k sekarang malah 5k, apakah setelahnya bakal jadi 6k??",3
"Udh pk gojek 8 tahun, cinta banget ma gojek tak bisa kelain hati",5
"Penjemputan lambat, pengemudi banyak yang tidak ber-attittude, aplikasi banyak bug, gps ga akurat, dan MAHAL PULA. tolong di pikirin, banyak orang yang bergantung sama gojek...",1
Tepat waktu,5
Bgus bget murah meriah,5
"1 jam tidak dapat goride, padahal tidak hujan sama sekali",1
Sangat membantu,5
oke,5
Uhuy lebih murah dprd sebelah 😜,3
🤗,5
Mantap woy,5
Kenapa chat nya tidak bisa ya,5
Gercep bngt buat dapetin driver..entah itu goride atopun gofood 👍,5
"Menunggu driver selalu diatas 10 menit, mau cepat malah lama",1
"Prnh krm brg pake go send mbl maks 100 kg berasa sprt numpang ti2p barang,sy sendiri yg masukin barang nya ke mobil,gojek nya hanya di duduk manis di kemudi,sy bayar pk gopay,lalu sy kasih tips tunai 18 rb ke dia.be2rapa menit kemudian akan smp di tujuan di chat ke saya ngedumel marah2 katanya alamat nya susah di cari dan dia kirim foto ke saya kalo bensin mobil nya sudah warna kuning,lalu minta tambahan gopay ke saya,krn dia mengancam tidak mau menyerahkan barang saya ke pnrma,lalu sy krm 20rb",1
Good,5
Sering2 ada promo voucher ya heheeehehe,5
Membantu,5
Ada ongkir tapi ongkirnya terlalu mahallll,3
Emang the best lah slma pake gojek.,5
Ngk jelas,1
"aplikasi recomended banget buat orang yg suka mageran, aku berharap vocher gratis ongkir nya di banyakin biar bisa belanja terus🫶🏻🩷",5
"Setengah jam nungguin pesenan jadi, udah di ambil driver malah di cancel, masih sabar menunggu kiranya ada driver yg mau ngambil, tak tinggalin mandi, beres mandi belum di ambil juga, udah setengah jam nunggu gk ada yg ngambil, minta bantuan cs katanya udah di jalan drivernya padahal di apk gk ada, minta bantuan lagi pesenan di cancel, masa mau nunggu dari awal lagi?, ini orang udah lapar !!! Apalah",1
Baguss,5
"YANG BIKIN ALGORITMA MAPS TOLONG DI EVALUASI. SERING BANGET NGACO, NENTUKAN ROUTENYA !!!",1
pelayanan mudah dan cepat,5
Mantap,5
"Lagi asik nnton dtang iklan gojek, nutupin malah error , jadi hilang tontonan gw 😡😡",1
"Aku beli gojek plus yg 90 hari serasa di scam, apaan diskon nya geli² doang kek 4rb an trs ya benci bngt klo lupa nyentang sedotan/alat makan waktu go food, bisa gak otomatis aja gitu ada alat makan nya?",3
kasih rating se enaknya. fahami dulu kondisinya. jemput 4KM antar 3KM ongkos yg didapat 8rb buat 7KM.,5
fungsional,5
Lebih praktis dan banyak promonya,5
"Apk kayak apa ini, saya kena tarif gofood 12k, kenapa drivenya cuma dapat 5k, kemana lagi 7k nya....? Sungguh apk kurang ajar, masa driver panas panasan, hujan hujanan, di bayar 5k dan kamu dapat 7k, jangan menari diatas pundak orang la",1
Gojek ya go lah,5
Suka banget jadi tidak wira wiri. Makasih,5
Mau mesen gofood kasian nengok drivernya🤧 masa saya bayar 22 ribu driver dapat ongkos 5 ribu 🤧cukup sekali saja saya pesen 🤧buat bg ojol jangan mau ya diperbudak ni aplikasi 🤧kan banyak aplikasi laennnya lebih manusiawi,5
Good job,5
Kemudahan download bukti transaksi,5
Oke 👍,5
"Penjemputan nya cepat,lokasinya juga tampil di Map Gojek",5
😁,5
Memuaskan,5
Jangan mao pke gojek kasian driver diupahain cuma goceng doang gara2 program tolol aceng gofood,1
Tranfortasi yg bagus dan cepat juga,5
Keren,5
Nice,5
Mantep,5
Senang menggunakan aplikasi gojeg,5
Aplikasi sangat membantu,5
Sangat membantu bgt,5
Sangat membantu,4
Paket cepat ya datangnya lambat . Paket hemat makin lambat,1
Ok,5
Mantap,5
"Overall app nya berguna, tapi tolong banget ini lumayan parah. Saya barusan beli gofood chicken gtu, saya padahal tidak merubah rubah alamat saya, tetapi ketika saya check out, alamat saya berubah ke lokasi yang saya pun tak tau itu dimana. Jadinya saya bingung, saya ada di cakung sedangkan pesanan saya di kebon baru. Saya mengerti kalau misal saya lupa ganti alamat, tapi alamat ini ngaco parah, saya aja tidak tau dimana kebon baru itu. Tolong perbaiki, saya habis 70rb sia sia karena masalah ini",3
Knoa kok sepi sekarang gojek,5
Good app since 2017,5
"Ternyata 1 ktp ga bisa bikin 2 akun gojek dg fitur goplus. Aku verifikasi ktp ke akun gojek kedua lalu salah transfer (500k) ke akun gojek 1. Pas mau transfer dari akun gojek 1 ke bank lagi atau ke akun gojek lain, ga bisa karena fitur goplus akun gojek pertama otomatis hilang karena ktp dipake ke akun ke 2. Duh, banget untuk customers yg ingin pake dua hape + 2 akun gojek.",3
Ok,5
"Sekarang gojek mahal. Apalagi gofood, ongkir mahal padahal jarak kurang dari 1 km. Biaya ongkir+penanganan lebih mahal dari harga makanannya. Harga makanannya pun lebih mahal daripada grab dan shopee, padahal di resto yg sama. Diskonnya jg minim, jarang, dan cuma berlaku utk pembayaran pakai kartu kredit tertentu aja. Potongan komisi ke driver dan resto kelewat besar. Kasihan driver dan UMKM nya. Aplikasi karys anak bangsa yg ngisep darah dan keringat mitra sesama anak bangsanya.",2
"Mohon maaf saya kecewa dengan pihak gojek, nomorhp sudah hilang akun sudah dihapus tetapi identitas masih terhubung dgn no lama dan tdk bisa diupdate ke no yg baru. Sudah mengurus telp berkali-kali tapi tetap tdk bisa. Sorry saya berhenti pake apk gojek mulai hari ini. Terimakasih",1
sangat nyaman,5
Semakin mempermudah layangan antar jemput,5
"Sedikit saran ni buat ni APLIKATOR jangan di PERSULIT MITRA DRIVER gua kasih contoh ada yang laporin itu seharusnya di VERIFIKASI LEWAT CHAT dia dengan customer atau LEWAT OPSI DI PILIH CUSTOMER yg laporin, karena banyak Aplikator lain itu tidak seperti gojek jangan sampai mereka pindah haluan",3
😄,5
"Gojek parah cok kerjasama sama Telkomsel. Beli paket data, paket datanya gak masuk GOPAY nya dipotong. Makin jelek pelayanannya. APLIKASI GAK RAMAH",1
Baguss,5
Top,5
"Gopay later nya APUS ajah , tuh, memuakan,",1
Belum tersedia metode pembayaran: QRIS dan Kartu Debit GPN.,1
Terlalu mahal gak ada diskon mending aplikasi sebelah Bagus murah,1
mantab👍👍👍,5
Lumayan,5
Luar biasa cakep,5
Mantaaaaap,5
LAMA BANGET NYARI DRIVERNYA UDA GT SERING DI CANCEL!!!,1
Sangat membantu,5
Sangat membantu,5
"Walaupun terkadang pake promo, pelayannya tetap ga mengecewakan.. best poll sii 🔥🩷",5
Sangat terbantu dengan Gojek,5
Baik..dan ramah,5
Mantap dan sngat membantu,5
"para driver seenaknya lewat jalan, g mau lewat jalan yg cepat jadi telat",2
"Saldo guaaa di tarik Otomasi anjg , mana gajian Masi lama",1
"Bisa ndak sih jangan tiba tiba ngelag atau gabisa? Org jadinya telat gini, error lagi. Apaan lah",2
"aplikasi ini,. sering EROR baru masuk malah EROR. mau pesan makanan EROR Udah di update. ttap gitu' aj masih EROR EROR EROR Bnar' menguras kesabaran !",2
"Nyesek banget, mau ke rmh sakit pesen gocar dr yg hemat sampai prioritas 1 jam lebih gak ada yg nyantol.",1
pesanan cepat aman,5
Paylater dibayar rutin tepat waktu kok malah diblokir. . . . Mengecewakan sekali,1
Oke,5
"Bgs,",5
helpfull,5
"pemetaan copy dari google map ke gojek, sangatlah buruk!!",1
Harga terjangkau,5
Ok banget,5
Susah dapat limit,1
Terbaik,5
banyak promo moga aja lebih banyak deh lagi heheh,5
𝕄𝔸𝕟𝕥𝕒𝕓,5
Selalu mudah dapat driver,5
𝑴𝒂𝒌𝒊𝒏 𝒔𝒆𝒏𝒂𝒏𝒈 𝒅𝒆𝒉 𝒑𝒓𝒐𝒎𝒐 𝒅𝒂𝒏 𝒅𝒊𝒔𝒌𝒐𝒏𝒏𝒚𝒂 𝒋𝒖𝒈𝒂 𝒃𝒂𝒏𝒚𝒂𝒌 🙏👍,5
Sayasangat suka aplikasi gojek,5
Okee aplikasinya,5
good,5
bagus,5
